cliente_id,nombre_cliente,segmento_cliente,ciudad,edad,ingreso_estimado,producto,saldo_producto,cupo_credito,fecha_vencimiento,fecha_movimiento,categoria_consumo,monto_consumo,canal,estado_producto,cupo_credito_estado,aplica_fecha_vencimiento,primer_movimiento_cliente_producto,categoria_saldo
C000728,Cliente 0728,MASS,Loja,50,1019.9,Cuenta de Ahorros,1498.82,,,2026-01-15,NO APLICA,0.0,Branch,Activo,NO APLICA,NO,2025-12-08,VALIDADO - HISTÓRICO DISPONIBLE
C001264,Cliente 1264,MASS,Guayaquil,57,471.1,Crédito Vehicular,20725.8,,2029-11-14,2026-03-20,NO APLICA,0.0,App,Activo,NO APLICA,SI,2025-02-02,VALIDADO - HISTÓRICO DISPONIBLE
C001515,Cliente 1515,JOVEN,Manta,45,639.34,Tarjeta de Crédito,689.27,1200.0,2029-03-16,2025-11-06,FOOD,16.63,Branch,Activo,CON CUPO,SI,2025-01-28,VALIDADO - HISTÓRICO DISPONIBLE
C002171,Cliente 2171,MASS,Guayaquil,23,1159.3,Cuenta de Ahorros,5001.88,,,2025-06-09,NO APLICA,0.0,App,Activo,NO APLICA,NO,2025-06-09,VALIDADO - HISTÓRICO DISPONIBLE
C001848,Cliente 1848,PREMIUM,Guayaquil,46,3037.26,Tarjeta de Crédito,1955.0,8200.0,2028-12-28,2025-03-04,FOOD,51.91,App,Activo,CON CUPO,SI,2025-01-18,VALIDADO - HISTÓRICO DISPONIBLE
C000651,Cliente 0651,JOVEN,Cuenca,49,1023.6,Cuenta de Ahorros,4082.56,,,2025-07-28,NO APLICA,0.0,Web,Activo,NO APLICA,NO,2025-07-28,VALIDADO - HISTÓRICO DISPONIBLE
C001846,Cliente 1846,MASS,Ambato,50,829.13,Tarjeta de Crédito,649.01,1200.0,2029-07-08,2026-04-10,EDUCATION,14.63,Web,Activo,CON CUPO,SI,2025-03-08,VALIDADO - HISTÓRICO DISPONIBLE
C000851,Cliente 0851,JOVEN,Quito,24,1043.27,Tarjeta de Crédito,363.7,1100.0,2027-03-25,2025-09-01,TECHNOLOGY,48.49,POS,Activo,CON CUPO,SI,2025-04-29,VALIDADO - HISTÓRICO DISPONIBLE
C000041,Cliente 0041,JOVEN,Quito,42,591.95,Crédito Hipotecario,63176.59,,2029-06-21,2025-10-03,NO APLICA,0.0,Web,Activo,NO APLICA,SI,2025-10-03,VALIDADO - HISTÓRICO DISPONIBLE
C000856,Cliente 0856,PREMIUM,Quito,36,4550.48,Crédito Vehicular,17442.6,,2027-06-28,2025-11-21,NO APLICA,0.0,App,Activo,NO APLICA,SI,2025-11-21,VALIDADO - HISTÓRICO DISPONIBLE
C000562,Cliente 0562,MASS,Manta,22,963.67,Tarjeta de Crédito,855.77,1800.0,2027-09-25,2025-12-23,SUPERMARKET,46.84,Branch,Activo,CON CUPO,SI,2025-01-13,VALIDADO - HISTÓRICO DISPONIBLE
C001948,Cliente 1948,JOVEN,Quito,43,432.69,Tarjeta de Crédito,482.45,1200.0,2026-11-13,2026-08-28,HEALTH,5.44,POS,Activo,CON CUPO,SI,2025-03-13,VALIDADO - HISTÓRICO DISPONIBLE
C001174,Cliente 1174,MASS,Guayaquil,42,729.85,Cuenta Corriente,1528.4,,,2026-04-13,NO APLICA,0.0,Web,Activo,NO APLICA,NO,2025-12-10,VALIDADO - HISTÓRICO DISPONIBLE
C000431,Cliente 0431,MASS,Guayaquil,46,943.23,Tarjeta de Crédito,1312.74,2800.0,2030-04-01,2025-09-11,OTHERS,130.45,POS,Activo,CON CUPO,SI,2025-01-09,VALIDADO - HISTÓRICO DISPONIBLE
